City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
663,Mae Ramat,TH,88.12,overcast clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
665,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
666,Jamalpur,BD,88.14,broken clouds,24.9167,89.9333,College hostel
668,Parnamirim,BR,76.89,scattered clouds,-5.9156,-35.2628,Pousada Joaci
669,Weligama,LK,82.09,broken clouds,5.9667,80.4167,Weligama Bay Resort
671,Bluefields,NI,76.14,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
672,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
673,Karratha,AU,76.87,moderate rain,-20.7377,116.8463,ibis Styles Karratha
684,Shirgaon,IN,86.76,few clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
685,Bembereke,BJ,76.23,overcast clouds,10.2283,2.6634,Hotel Bio Guera
688,Wewak,PG,84.67,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
696,Galveston,US,80.56,clear sky,29.3669,-94.9669,Crystal Suites
699,Biloela,AU,81.3,few clouds,-24.4167,150.5,Silo Motor Inn Biloela
709,Guanica,PR,79.21,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
711,Gizo,SB,83.79,few clouds,-8.103,156.8419,Imagination Island
715,Liku,ID,82.47,overcast clouds,-0.7275,119.8922,Wahyu
716,Kannur,IN,77.25,moderate rain,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
717,Sambava,MG,76.73,few clouds,-14.2667,50.1667,Melrose
719,Taloqan,AF,81.07,clear sky,36.7361,69.5345,Saraisang street
725,Tual,ID,83.73,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
726,Izumo,JP,76.89,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
